restaurant_id,restaurant_name,cuisine,price_range,delivery_time_min,distance_miles,rating,total_reviews,location,url
1,Sector 17,"Indian, Wraps",$$,24,0.9,4,640,Brampton,https://www.doordash.com/store/884779/?pickup=false
2,Golden Palace Restaurant,"Chinese, Chicken",$$,27,2,4,301,Brampton,https://www.doordash.com/store/332454/?pickup=false
3,McDonald's,"Bakery, Chicken",$$,19,1,4.2,890,Brampton,https://www.doordash.com/store/1140537/?pickup=false
4,San Francisco Place,"Italian, Sandwiches",$,16,0.4,4.4,109,Brampton,https://www.doordash.com/store/205349/?pickup=false
5,THE BURGER BROS,"Fast Food, Sandwiches",$$,23,0.0946969697,4.5,481,Brampton,https://www.doordash.com/store/940617/?pickup=false
6,Lazeez Shawarma,"Shawarma, Vegetarian",$$,20,0.9,3.7,730,Brampton,https://www.doordash.com/store/567102/?pickup=false
7,Fresh Tandoori,"Indian, Vegetarian",$$,27,0.9,3.8,1,Brampton,https://www.doordash.com/store/303233/?pickup=false
8,Henry's Fish & Chips,"Fish & Chips, Seafood",$$,19,0.7,4.5,293,Brampton,https://www.doordash.com/store/443240/?pickup=false
9,Pho Viet Nam Restaurant,"Vietnamese, Pho",$$,18,0.03787878788,4.2,50,Brampton,https://www.doordash.com/store/205291/?pickup=false
10,Church's Chicken Canada,"Wraps, Tenders",$,25,1.9,4,1,Brampton,https://www.doordash.com/store/872402/?pickup=false
11,Punjabi Chaap Corner Canada,"Indian Cuisine, Tandoori",$$,18,0.7,4.1,411,Brampton,https://www.doordash.com/store/1767716/?pickup=false
12,Burger King,"American, Burgers",$,23,1.5,4,2,Brampton,https://www.doordash.com/store/60362/?pickup=false
13,Shawarma King,"Middle Eastern, Wraps",$$,21,0.8,4,600,Brampton,https://www.doordash.com/store/484779/?pickup=false
14,Joe's Pizzeria and Spaghetti House,"Italian, Pizza",$$,22,0.5,4.3,122,Brampton,https://www.doordash.com/store/443276/?pickup=false
15,Kejjis,"African, Pastries",$$,19,0.4,4.4,107,Brampton,https://www.doordash.com/store/525423/?pickup=false
16,Karachi Kitchen,"Indian, Curry",$,22,1.7,4,980,Brampton,https://www.doordash.com/store/205355/?pickup=false
17,Munchers,"Burgers, Sandwiches",$$,24,1,4.3,353,Brampton,https://www.doordash.com/store/1085408/?pickup=false
18,Hakka Village Chinese Restaurant,"Chinese, Noodles",$,27,1.4,4.2,1,Brampton,https://www.doordash.com/store/60279/?pickup=false
19,7-Eleven,"7-Eleven, 7/11",$$,18,0.2,4.1,540,Brampton,https://www.doordash.com/convenience/store/992614/?pickup=false
20,Spicy Island Jerk,"Caribbean, Breakfast",$$,20,0.2,3.6,19,Brampton,https://www.doordash.com/store/567012/?pickup=false
21,Shawarma Corner,"Middle Eastern, Shawarma",$,18,1,4.5,132,Brampton,https://www.doordash.com/store/205191/?pickup=false
22,Dairy Queen,"Ice Cream, Desserts",$$,18,0.4,4.6,353,Brampton,https://www.doordash.com/store/1615538/?pickup=false
